R,G,B,Label
31.8532,65.8468,43.7443,0
29.5374,47.4082,21.3963,0
32.0157,51.3689,24.5529,0
39.475,74.2103,46.7178,0
40.4162,88.5976,62.6238,0
73.2095,82.8288,57.1051,1
58.2887,73.4279,46.767,1
45.3681,84.7523,62.0274,0
39.7986,76.4825,52.3713,0
39.0555,71.331,43.3671,0
30.6866,51.1823,24.1902,0
28.8445,76.0345,52.1967,0
28.8455,77.9857,59.8291,0
24.4351,48.3209,27.6315,0
31.2422,72.2765,63.3826,0
24.7224,57.3037,45.5362,0
26.2221,90.3844,77.2009,0
21.9321,39.6679,17.3501,0
21.7686,30.7925,7.0399,0
19.5892,21.6114,3.0039,0
24.6275,59.8164,44.9866,0
19.9429,28.3034,8.5857,0
21.8271,28.5854,5.7394,0
25.82,33.4003,8.2037,0
18.1182,21.9761,2.4566,0
18.0148,21.604,3.4738,0
16.588,24.1242,7.125,0
15.4752,39.3624,25.2548,0
18.9779,46.8479,27.1982,0
17.7331,27.4307,8.1774,0
18.2483,21.7222,2.5483,0
20.43,36.5603,8.1362,0
24.7694,32.6474,6.417,0
23.8302,29.6095,6.5563,0
24.4876,31.6677,9.1041,0
44.0494,102.3692,78.7072,0
40.1677,81.9244,57.2099,0
35.4999,73.7786,50.2972,0
23.4187,29.3868,5.6495,0
27.1882,37.4665,11.2305,0
29.762,41.7569,14.441,0
27.2382,40.2492,18.2188,0
35.3869,51.6697,22.3775,0
33.5661,65.6981,41.621,0
139.1185,131.1225,94.812,2
137.0074,131.135,96.7254,2
92.6608,102.3111,75.1985,1
49.7776,101.3608,86.4793,0
32.3442,77.7041,56.2624,0
33.2809,98.2782,75.52,0
33.5363,81.2619,55.3406,0
28.4317,39.89,14.8196,0
28.0447,53.2089,30.2395,0
45.067,103.1135,93.7064,0
29.1195,49.7629,22.2862,0
28.9607,63.7865,40.1935,0
19.6586,28.6043,9.7807,0
23.0152,30.4181,7.9912,0
16.239,17.467,1.7987,0
22.8482,38.066,21.5805,0
26.4596,50.7566,52.1991,0
16.1331,17.7746,2.5538,0
17.1227,20.0213,2.813,0
22.8412,37.6207,17.0651,0
23.108,48.6952,25.1632,0
19.6185,43.6051,21.4578,0
22.4636,49.8612,28.8893,0
22.7596,52.1584,29.9806,0
21.9783,26.0857,6.254,0
31.1741,32.4967,14.6005,0
36.7748,40.9739,21.6546,0
38.5652,42.1922,21.8942,0
41.769,46.1511,28.4629,0
40.9424,48.3077,34.2157,0
35.0278,44.826,26.3334,0
31.2885,59.015,38.5208,0
31.3009,55.0284,34.513,0
22.7141,34.7827,21.1983,0
27.0962,40.437,21.5531,0
21.1464,26.8903,9.4306,0
42.9787,82.2995,62.0279,0
34.5981,61.2368,38.3142,0
34.1337,60.8627,34.478,0
68.2682,110.0359,95.0148,0
89.2899,124.4984,113.5789,1
142.9178,168.6277,171.9123,2
127.2561,150.4853,151.1414,2
58.4986,128.8603,125.7148,1
34.3335,77.4106,52.4423,0
27.2758,34.7237,10.9159,0
25.1333,33.3223,10.4672,0
23.4981,32.4183,9.9268,0
26.7911,84.7247,68.6244,0
25.4626,38.0244,14.5409,0
21.3786,29.0544,5.2542,0
21.8397,53.6956,37.8496,0
22.6259,38.4213,14.5102,0
24.3058,42.5731,22.0333,0
22.8132,44.5795,20.9109,0
21.3616,32.9332,16.6341,0
15.7066,21.5127,5.9321,0
20.2863,28.0788,9.4431,0
23.005,72.389,62.4661,0
23.9074,59.8892,41.468,0
19.8578,27.5893,6.1847,0
27.0707,34.8302,20.3814,0
34.6292,34.7932,19.1866,1
59.9857,59.8852,40.3528,1
85.9257,80.2112,47.7953,2
105.7248,94.8116,55.2911,2
111.9208,99.3328,55.8568,2
113.4541,106.8581,75.3181,2
109.5685,131.117,128.8734,2
83.0041,130.7255,141.0566,1
56.2611,125.9348,140.7698,1
38.7978,125.8532,136.5136,1
26.8668,85.167,77.803,0
28.8716,91.5336,80.4894,0
31.163,83.4134,72.0979,0
24.6089,50.2353,33.1541,0
31.4877,80.5093,68.391,0
52.3212,121.4868,106.2102,0
57.3506,92.0199,78.7604,0
54.5214,74.2338,54.9322,0
64.5542,93.1638,76.483,0
123.8163,140.449,134.6093,2
122.715,143.8803,139.8836,2
50.8243,113.3573,107.7954,1
35.4673,93.6809,70.7172,0
27.7281,41.6388,18.661,0
30.39,86.3597,62.0693,0
27.2562,73.7965,54.2317,0
26.614,56.2011,33.6823,0
18.204,34.3338,11.5985,0
20.4224,81.2039,67.1658,0
21.8686,35.865,19.5947,0
19.1369,29.8975,13.4896,0
23.3511,71.9541,48.6985,0
18.1009,23.6192,5.3085,0
21.3533,37.8153,17.1429,0
25.8933,70.7958,51.7117,0
23.6457,47.707,23.069,0
18.184,20.6532,4.337,0
29.8409,28.1256,13.4718,0
55.9206,53.8379,33.7406,1
96.5485,85.4767,46.2239,2
96.9084,86.4868,47.7015,2
61.998,90.5335,62.15,2
49.1925,59.2949,39.0018,1
43.6171,69.4538,51.9904,1
51.0173,59.4476,38.8581,1
77.8004,97.7567,80.6159,1
123.9502,162.4612,174.9909,2
145.4742,181.9157,199.5547,2
101.4961,164.7512,183.9641,1
66.9365,149.0827,175.5204,1
29.4049,123.5577,132.4172,0
25.9565,122.3187,121.6573,0
35.9462,96.5565,80.733,0
27.4052,71.9193,55.2118,0
38.1367,108.8404,96.5496,0
46.0955,87.5839,75.7427,0
51.474,112.8381,101.6447,0
40.3647,63.716,44.1643,0
53.6098,74.1516,55.2827,0
133.164,143.8097,134.6293,2
97.7391,115.8824,101.0535,1
38.4555,86.241,69.4017,0
29.5251,78.7213,64.3936,0
29.5807,61.1544,41.4466,0
19.9325,56.0744,37.7024,0
24.1497,83.7876,65.1616,0
20.9035,48.5276,24.9039,0
22.6589,71.7592,49.3536,0
23.8113,46.1278,28.3849,0
14.1536,16.1832,2.3699,0
21.1608,41.2949,19.5895,0
21.4499,52.8119,29.7421,0
25.5444,54.1355,27.8952,0
20.9965,29.012,6.8504,0
21.1623,22.7887,6.4275,0
40.416,38.9823,25.4366,1
76.7688,67.8558,36.1254,2
91.5234,80.4043,41.1912,2
46.1879,74.7583,50.5175,1
28.8031,92.7936,77.3879,0
24.0215,102.8655,97.8198,0
26.1444,54.0215,41.4168,0
33.0581,132.4034,129.0645,0
27.037,61.9751,51.2957,0
31.1078,88.1797,76.4684,0
33.1848,92.5971,81.2814,0
61.1201,103.0703,101.797,0
138.0774,166.1015,177.5801,2
136.6087,176.1792,193.1712,2
65.9803,157.3141,171.2767,1
30.8954,86.8453,71.9188,0
29.1421,114.6215,107.6476,0
31.0856,112.7491,112.0473,0
30.9855,98.4591,93.8167,0
53.2799,119.6398,106.0709,0
36.1979,71.171,59.4872,0
29.4821,56.4221,31.8091,0
38.019,43.6058,23.5956,0
67.9347,78.5565,58.6143,1
136.6559,129.6042,97.5258,2
69.5911,96.0654,76.0473,1
32.6663,76.8404,50.3024,0
21.0145,47.6935,30.2239,0
17.2481,63.6807,48.2719,0
19.4289,93.7228,82.5734,0
25.0933,78.5785,57.1775,0
23.6451,46.9607,19.2193,0
16.957,19.5581,3.1401,0
20.973,44.9063,23.1894,0
21.7426,36.1879,13.0797,0
21.8801,34.7259,9.3652,0
22.6147,32.6429,6.2225,0
24.0375,30.7535,9.798,0
44.8269,42.9631,21.797,1
80.1582,69.228,30.56,2
64.3297,72.2689,44.5534,2
40.7152,105.8036,87.814,0
29.8405,110.787,96.8009,0
23.918,71.59,49.8376,0
25.8392,60.2821,39.3005,0
36.3278,82.5493,59.7977,0
26.1487,55.1202,39.8525,0
26.0347,77.1128,61.227,0
29.1065,78.2568,59.3143,0
20.0608,26.7704,11.0153,0
28.6088,59.6982,36.5519,0
38.4736,51.0705,25.5849,1
95.0716,92.9156,64.0131,2
125.0271,128.894,97.0392,2
65.5456,134.8412,138.0206,1
21.6326,125.4,120.3978,0
28.5898,133.5745,134.3245,0
35.7134,99.1875,90.1837,0
38.2388,87.9893,72.4924,0
33.5318,54.5627,30.6573,0
33.0039,56.0477,31.362,0
31.9297,43.755,20.6564,0
43.8073,49.739,29.5928,1
82.7966,87.4572,64.1964,1
128.0595,124.5201,89.0564,2
54.0352,98.1473,86.2522,1
26.1469,70.589,54.4622,0
26.6003,54.9611,37.3737,0
27.4682,106.2881,89.7233,0
25.221,72.3441,41.963,0
20.7416,33.5322,8.8986,0
19.8934,24.6421,3.5326,0
19.9933,24.2997,3.0643,0
18.9035,21.2809,2.4423,0
19.3892,21.7737,4.1411,0
28.5412,31.3816,11.6788,0
65.8077,60.7964,29.8263,1
84.0988,75.3016,37.2691,2
36.5367,97.917,80.4777,0
24.7482,136.2526,128.1331,0
23.1327,67.7412,51.4847,0
24.1697,95.2442,87.7591,0
18.9293,27.0571,6.9667,0
22.2462,33.2589,7.7835,0
29.1104,54.5061,26.8194,0
33.9465,70.8761,45.3583,0
23.9308,62.2189,42.7233,0
23.7335,80.8344,64.9782,0
23.4372,49.74,31.1186,0
27.0375,37.3869,10.4663,0
21.2921,21.8863,3.1331,0
33.8782,47.8221,18.934,0
93.4584,88.4665,53.8793,2
112.5924,110.1613,72.9408,2
47.1057,91.4603,73.1167,1
46.5334,120.4546,118.0801,0
48.7301,139.2677,149.082,0
46.6499,58.8155,27.8159,0
34.9344,37.0544,9.9896,0
30.088,38.921,11.8421,0
35.5634,74.3451,52.1608,0
39.5262,83.4096,73.6719,0
42.3606,55.1546,30.5309,1
87.0195,85.4824,57.8007,1
116.4443,107.3323,65.597,2
53.6414,76.0303,59.789,1
37.2697,99.4447,95.1592,0
25.1039,45.4484,25.5699,0
27.6532,34.8361,10.7121,0
20.3905,36.1984,13.7816,0
22.6861,34.0666,9.3252,0
21.4517,33.5714,14.5617,0
30.4155,35.1445,15.424,0
49.9598,55.3522,28.7868,1
94.9062,85.8838,49.4162,2
70.4702,84.7433,57.8905,2
38.1901,93.0689,81.2798,1
22.966,135.9245,129.7692,0
20.7651,72.1344,52.1863,0
19.911,28.3934,7.2615,0
17.7482,23.3116,5.5526,0
19.9332,26.2589,6.3355,0
18.5222,23.5308,7.0174,0
26.1286,47.123,19.3359,0
33.1583,84.6238,67.2299,0
25.7399,62.11,45.3788,0
20.1192,33.6663,16.359,0
26.3921,51.2113,27.5738,0
25.7666,31.9136,7.4908,0
23.9479,28.9843,7.1771,0
23.9748,26.8065,6.2056,0
37.117,45.8281,19.1487,0
122.673,110.647,67.2996,2
88.5473,96.8348,65.6831,1
42.9003,73.417,45.3136,0
28.5067,120.0447,113.1984,0
40.1944,49.4267,19.4911,0
31.5474,33.3926,6.9087,0
32.4582,39.3886,11.4231,0
36.7232,65.5462,42.671,0
59.747,132.3307,129.9085,0
29.8465,39.6024,14.7412,0
35.4506,38.1367,18.9278,1
83.0105,79.4626,52.2655,2
123.9511,112.1317,71.6772,2
77.4246,83.8726,57.8599,1
45.5445,67.7099,50.7944,1
43.1159,76.0765,63.501,0
38.0409,83.7016,76.5801,0
36.1456,79.9432,70.0954,0
46.1966,104.9459,102.6921,1
99.4016,120.739,117.9597,2
109.4995,118.5786,102.4797,2
62.7197,117.4708,102.2782,0
36.0003,131.6177,125.3898,0
23.0527,106.0314,95.1948,0
14.55,89.164,80.0017,0
19.5836,62.5134,45.7909,0
18.6801,30.2449,9.1066,0
20.0125,26.1966,6.2681,0
13.2753,13.8815,1.7418,0
24.9035,31.916,7.8452,0
32.5767,88.8083,69.1063,0
27.1647,69.9607,48.9343,0
23.8555,31.4479,12.2725,0
23.1419,46.08,24.3761,0
28.8263,78.713,60.4328,0
22.4969,27.3444,5.9912,0
23.019,24.7918,5.8897,0
30.6672,40.8708,12.5836,0
29.3088,40.6215,13.112,0
55.2569,57.7845,30.7685,1
134.361,119.9471,75.7754,2
68.1461,87.2808,63.8586,1
44.5079,86.9633,71.3182,0
33.001,41.9069,14.6702,0
31.2734,34.102,9.8829,0
38.355,61.6602,32.1431,0
38.1818,43.8907,18.1122,0
30.8015,40.3346,12.4905,0
26.4528,33.2343,9.7163,0
